fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,Ensemble,9.0,2137.2473827623353,2137.2473827623353,34.03437721029247,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,10.0,2839.184867467028,2839.184867467028,44.767856308348115,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,11.0,1163.1011668406404,1163.1011668406404,26.273707398735574,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,12.0,1531.476224317575,1531.476224317575,31.536342660392553,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,1.0,1472.1021229386424,1472.1021229386424,34.91356330665741,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,2.0,2522.3450546407357,2522.3450546407357,42.938496281362454,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,3.0,3412.380557624663,3412.380557624663,50.28565632078098,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,4.0,3704.758414058897,3704.758414058897,45.299013484672585,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,5.0,3356.600694006791,3356.600694006791,42.67359572641488,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,6.0,2512.0699813788633,2512.0699813788633,39.47323938353008,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,7.0,2203.0258774513886,2203.0258774513886,36.537754326062775,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,8.0,2813.8176359803692,2813.8176359803692,44.80835096410488,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,9.0,3046.046116281351,3046.046116281351,48.029614557625834,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,10.0,1472.884999252813,1472.884999252813,33.271524958978404,2019-04-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,11.0,2298.0270209771033,2298.0270209771033,47.321248887600746,2019-04-01 00:00:00
